Country,State,Area Codes
US,Alabama,205;251;256;334;938
US,Alaska,907;250
US,Arizona,480;520;602;623;928
US,Arkansas,327;479;501;870
US,California,209;213;310;323;408;415;424;442;510;530;559;562;619;626;628;650;657;661;669;707;714;747;760;805;818;831;858;909;916;925;949;951
US,Colorado,303;719;720;970
US,Connecticut,203;475;860;959
US,Delaware,302
US,District of Columbia,202
US,Florida,239;305;321;352;386;407;561;727;754;772;786;813;850;863;904;941;954
US,Georgia,229;404;470;478;678;706;762;770;912
US,Hawaii,808
US,Idaho,208;986
US,Illinois,217;224;309;312;331;447;464;618;630;708;730;773;779;815;847;872
US,Indiana,219;260;317;463;574;765;812;930
US,Iowa,319;515;563;641;712
US,Kansas,316;620;785;913
US,Kentucky,270;364;502;606;859
US,Louisiana,225;318;337;504;985
US,Maine,207
US,Maryland,227;240;301;410;443;667
US,Massachusetts,339;351;413;508;617;774;781;857;978
US,Michigan,231;248;269;313;517;586;616;734;810;906;947;989
US,Minnesota,218;320;507;612;651;763;952
US,Mississippi,228;601;662;769
US,Missouri,314;417;573;636;660;816;975
US,Montana,406
US,Nebraska,308;402;531
US,Nevada,702;725;775
US,New Hampshire,603
US,New Jersey,201;551;609;732;848;856;862;908;973
US,New Mexico,505;575
US,New York,212;315;332;347;516;518;585;607;631;646;680;716;718;845;914;917;929;934
US,North Carolina,252;336;704;743;828;910;919;980;984
US,North Dakota,701
US,Ohio,216;220;234;283;330;380;419;440;513;567;614;740;937
US,Oklahoma,405;539;580;918
US,Oregon,458;503;541;971
US,Pennsylvania,215;267;272;412;484;570;610;717;724;814;878
US,Rhode Island,401
US,South Carolina,803;843;854;864
US,South Dakota,605
US,Tennessee,423;615;629;731;865;901;931
US,Texas,210;214;254;281;325;346;361;409;430;432;469;512;682;713;737;806;817;830;832;903;915;936;940;956;972;979
US,Utah,385;435;801
US,Vermont,802
US,Virginia,276;434;540;571;703;757;804
US,Washington,206;253;360;425;509;564
US,West Virginia,304;681
US,Wisconsin,262;274;414;534;608;715;920
US,Wyoming,307